ind	alt	id	set	choice	brand1	brand2	cap1	cap2	price1	price2	filter	therm	ch
36	2	5	4	1	0	1	0	1	1	0	0	1	0
36	3	5	4	1	1	0	1	0	0	1	1	0	0
37	1	5	5	2	1	0	0	1	0	1	0	1	0
37	2	5	5	2	0	0	0	0	1	0	1	0	1
37	3	5	5	2	1	0	1	0	0	1	1	0	0
38	1	5	6	3	0	1	1	0	0	1	1	0	0
38	2	5	6	3	0	0	0	1	0	1	0	0	0
38	3	5	6	3	1	0	1	0	0	1	1	0	1
39	1	5	7	3	1	0	0	0	0	0	0	0	0
39	2	5	7	3	0	0	1	0	0	0	0	1	0
39	3	5	7	3	1	0	1	0	0	1	1	0	1
40	1	5	8	1	0	1	0	0	0	1	0	1	1
40	2	5	8	1	0	1	0	1	0	0	1	0	0
40	3	5	8	1	1	0	1	0	0	1	1	0	0
41	1	6	1	2	1	0	0	1	0	1	1	0	0
41	2	6	1	2	0	1	0	0	0	1	1	1	1
41	3	6	1	2	1	0	1	0	0	1	1	0	0
42	1	6	2	2	0	1	1	0	0	1	0	0	0
42	2	6	2	2	0	0	0	1	0	1	1	1	1
42	3	6	2	2	1	0	1	0	0	1	1	0	0
43	1	6	3	2	0	1	0	1	1	0	0	0	0
43	2	6	3	2	0	1	0	1	0	0	1	1	1
43	3	6	3	2	1	0	1	0	0	1	1	0	0
44	1	6	4	2	1	0	1	0	1	0	1	1	0
44	2	6	4	2	0	1	0	1	1	0	0	1	1
44	3	6	4	2	1	0	1	0	0	1	1	0	0
45	1	6	5	1	1	0	0	1	0	1	0	1	1
45	2	6	5	1	0	0	0	0	1	0	1	0	0
45	3	6	5	1	1	0	1	0	0	1	1	0	0
46	1	6	6	1	0	1	1	0	0	1	1	0	1
46	2	6	6	1	0	0	0	1	0	1	0	0	0
46	3	6	6	1	1	0	1	0	0	1	1	0	0
47	1	6	7	2	1	0	0	0	0	0	0	0	0
47	2	6	7	2	0	0	1	0	0	0	0	1	1
47	3	6	7	2	1	0	1	0	0	1	1	0	0
48	1	6	8	1	0	1	0	0	0	1	0	1	1
48	2	6	8	1	0	1	0	1	0	0	1	0	0
48	3	6	8	1	1	0	1	0	0	1	1	0	0
49	1	7	1	2	1	0	0	1	0	1	1	0	0
49	2	7	1	2	0	1	0	0	0	1	1	1	1
49	3	7	1	2	1	0	1	0	0	1	1	0	0
50	1	7	2	2	0	1	1	0	0	1	0	0	0
50	2	7	2	2	0	0	0	1	0	1	1	1	1
50	3	7	2	2	1	0	1	0	0	1	1	0	0
51	1	7	3	2	0	1	0	1	1	0	0	0	0
51	2	7	3	2	0	1	0	1	0	0	1	1	1
51	3	7	3	2	1	0	1	0	0	1	1	0	0
52	1	7	4	2	1	0	1	0	1	0	1	1	0
52	2	7	4	2	0	1	0	1	1	0	0	1	1
52	3	7	4	2	1	0	1	0	0	1	1	0	0
53	1	7	5	1	1	0	0	1	0	1	0	1	1
53	2	7	5	1	0	0	0	0	1	0	1	0	0
53	3	7	5	1	1	0	1	0	0	1	1	0	0
54	1	7	6	2	0	1	1	0	0	1	1	0	0
54	2	7	6	2	0	0	0	1	0	1	0	0	1
54	3	7	6	2	1	0	1	0	0	1	1	0	0
55	1	7	7	2	1	0	0	0	0	0	0	0	0
55	2	7	7	2	0	0	1	0	0	0	0	1	1
55	3	7	7	2	1	0	1	0	0	1	1	0	0
56	1	7	8	1	0	1	0	0	0	1	0	1	1
56	2	7	8	1	0	1	0	1	0	0	1	0	0
56	3	7	8	1	1	0	1	0	0	1	1	0	0
57	1	8	1	2	1	0	0	1	0	1	1	0	0
57	2	8	1	2	0	1	0	0	0	1	1	1	1
57	3	8	1	2	1	0	1	0	0	1	1	0	0
58	1	8	2	2	0	1	1	0	0	1	0	0	0
58	2	8	2	2	0	0	0	1	0	1	1	1	1
58	3	8	2	2	1	0	1	0	0	1	1	0	0
59	1	8	3	2	0	1	0	1	1	0	0	0	0
59	2	8	3	2	0	1	0	1	0	0	1	1	1
59	3	8	3	2	1	0	1	0	0	1	1	0	0
60	1	8	4	2	1	0	1	0	1	0	1	1	0
60	2	8	4	2	0	1	0	1	1	0	0	1	1
60	3	8	4	2	1	0	1	0	0	1	1	0	0
61	1	8	5	2	1	0	0	1	0	1	0	1	0
61	2	8	5	2	0	0	0	0	1	0	1	0	1
61	3	8	5	2	1	0	1	0	0	1	1	0	0
62	1	8	6	2	0	1	1	0	0	1	1	0	0
62	2	8	6	2	0	0	0	1	0	1	0	0	1
62	3	8	6	2	1	0	1	0	0	1	1	0	0
63	1	8	7	1	1	0	0	0	0	0	0	0	1
63	2	8	7	1	0	0	1	0	0	0	0	1	0
63	3	8	7	1	1	0	1	0	0	1	1	0	0
64	1	8	8	2	0	1	0	0	0	1	0	1	0
64	2	8	8	2	0	1	0	1	0	0	1	0	1
64	3	8	8	2	1	0	1	0	0	1	1	0	0
65	1	9	1	1	1	0	0	1	0	1	1	0	1
65	2	9	1	1	0	1	0	0	0	1	1	1	0
65	3	9	1	1	1	0	1	0	0	1	1	0	0
66	1	9	2	2	0	1	1	0	0	1	0	0	0
66	2	9	2	2	0	0	0	1	0	1	1	1	1
66	3	9	2	2	1	0	1	0	0	1	1	0	0
67	1	9	3	1	0	1	0	1	1	0	0	0	1
67	2	9	3	1	0	1	0	1	0	0	1	1	0
67	3	9	3	1	1	0	1	0	0	1	1	0	0
68	1	9	4	2	1	0	1	0	1	0	1	1	0
68	2	9	4	2	0	1	0	1	1	0	0	1	1
68	3	9	4	2	1	0	1	0	0	1	1	0	0
69	1	9	5	2	1	0	0	1	0	1	0	1	0
69	2	9	5	2	0	0	0	0	1	0	1	0	1
69	3	9	5	2	1	0	1	0	0	1	1	0	0
70	1	9	6	2	0	1	1	0	0	1	1	0	0
70	2	9	6	2	0	0	0	1	0	1	0	0	1
70	3	9	6	2	1	0	1	0	0	1	1	0	0
71	1	9	7	1	1	0	0	0	0	0	0	0	1
71	2	9	7	1	0	0	1	0	0	0	0	1	0
71	3	9	7	1	1	0	1	0	0	1	1	0	0
72	1	9	8	1	0	1	0	0	0	1	0	1	1
72	2	9	8	1	0	1	0	1	0	0	1	0	0
72	3	9	8	1	1	0	1	0	0	1	1	0	0
73	1	10	1	2	1	0	0	1	0	1	1	0	0
73	2	10	1	2	0	1	0	0	0	1	1	1	1
73	3	10	1	2	1	0	1	0	0	1	1	0	0
74	1	10	2	2	0	1	1	0	0	1	0	0	0
74	2	10	2	2	0	0	0	1	0	1	1	1	1
74	3	10	2	2	1	0	1	0	0	1	1	0	0
75	1	10	3	2	0	1	0	1	1	0	0	0	0
75	2	10	3	2	0	1	0	1	0	0	1	1	1
75	3	10	3	2	1	0	1	0	0	1	1	0	0
76	1	10	4	2	1	0	1	0	1	0	1	1	0
76	2	10	4	2	0	1	0	1	1	0	0	1	1
76	3	10	4	2	1	0	1	0	0	1	1	0	0
77	1	10	5	2	1	0	0	1	0	1	0	1	0
77	2	10	5	2	0	0	0	0	1	0	1	0	1
77	3	10	5	2	1	0	1	0	0	1	1	0	0
78	1	10	6	2	0	1	1	0	0	1	1	0	0
78	2	10	6	2	0	0	0	1	0	1	0	0	1
78	3	10	6	2	1	0	1	0	0	1	1	0	0
79	1	10	7	3	1	0	0	0	0	0	0	0	0
79	2	10	7	3	0	0	1	0	0	0	0	1	0
79	3	10	7	3	1	0	1	0	0	1	1	0	1
80	1	10	8	1	0	1	0	0	0	1	0	1	1
80	2	10	8	1	0	1	0	1	0	0	1	0	0
80	3	10	8	1	1	0	1	0	0	1	1	0	0
81	1	11	1	2	1	0	0	1	0	1	1	0	0
81	2	11	1	2	0	1	0	0	0	1	1	1	1
81	3	11	1	2	1	0	1	0	0	1	1	0	0
82	1	11	2	2	0	1	1	0	0	1	0	0	0
82	2	11	2	2	0	0	0	1	0	1	1	1	1
82	3	11	2	2	1	0	1	0	0	1	1	0	0
83	1	11	3	1	0	1	0	1	1	0	0	0	1
83	2	11	3	1	0	1	0	1	0	0	1	1	0
83	3	11	3	1	1	0	1	0	0	1	1	0	0
84	1	11	4	2	1	0	1	0	1	0	1	1	0
84	2	11	4	2	0	1	0	1	1	0	0	1	1
84	3	11	4	2	1	0	1	0	0	1	1	0	0
85	1	11	5	1	1	0	0	1	0	1	0	1	1
85	2	11	5	1	0	0	0	0	1	0	1	0	0
85	3	11	5	1	1	0	1	0	0	1	1	0	0
86	1	11	6	2	0	1	1	0	0	1	1	0	0
86	2	11	6	2	0	0	0	1	0	1	0	0	1
86	3	11	6	2	1	0	1	0	0	1	1	0	0
87	1	11	7	3	1	0	0	0	0	0	0	0	0
87	2	11	7	3	0	0	1	0	0	0	0	1	0
87	3	11	7	3	1	0	1	0	0	1	1	0	1
88	1	11	8	1	0	1	0	0	0	1	0	1	1
88	2	11	8	1	0	1	0	1	0	0	1	0	0
88	3	11	8	1	1	0	1	0	0	1	1	0	0
89	1	12	1	2	1	0	0	1	0	1	1	0	0
89	2	12	1	2	0	1	0	0	0	1	1	1	1
89	3	12	1	2	1	0	1	0	0	1	1	0	0
90	1	12	2	2	0	1	1	0	0	1	0	0	0
90	2	12	2	2	0	0	0	1	0	1	1	1	1
90	3	12	2	2	1	0	1	0	0	1	1	0	0
91	1	12	3	2	0	1	0	1	1	0	0	0	0
91	2	12	3	2	0	1	0	1	0	0	1	1	1
91	3	12	3	2	1	0	1	0	0	1	1	0	0
92	1	12	4	1	1	0	1	0	1	0	1	1	1
92	2	12	4	1	0	1	0	1	1	0	0	1	0
92	3	12	4	1	1	0	1	0	0	1	1	0	0
93	1	12	5	1	1	0	0	1	0	1	0	1	1
93	2	12	5	1	0	0	0	0	1	0	1	0	0
93	3	12	5	1	1	0	1	0	0	1	1	0	0
94	1	12	6	3	0	1	1	0	0	1	1	0	0
94	2	12	6	3	0	0	0	1	0	1	0	0	0
94	3	12	6	3	1	0	1	0	0	1	1	0	1
95	1	12	7	2	1	0	0	0	0	0	0	0	0
95	2	12	7	2	0	0	1	0	0	0	0	1	1
95	3	12	7	2	1	0	1	0	0	1	1	0	0
96	1	12	8	1	0	1	0	0	0	1	0	1	1
96	2	12	8	1	0	1	0	1	0	0	1	0	0
96	3	12	8	1	1	0	1	0	0	1	1	0	0
97	1	13	1	1	1	0	0	1	0	1	1	0	1
97	2	13	1	1	0	1	0	0	0	1	1	1	0
97	3	13	1	1	1	0	1	0	0	1	1	0	0
98	1	13	2	2	0	1	1	0	0	1	0	0	0
98	2	13	2	2	0	0	0	1	0	1	1	1	1
98	3	13	2	2	1	0	1	0	0	1	1	0	0
99	1	13	3	2	0	1	0	1	1	0	0	0	0
99	2	13	3	2	0	1	0	1	0	0	1	1	1
99	3	13	3	2	1	0	1	0	0	1	1	0	0
100	1	13	4	3	1	0	1	0	1	0	1	1	0
100	2	13	4	3	0	1	0	1	1	0	0	1	0
100	3	13	4	3	1	0	1	0	0	1	1	0	1
101	1	13	5	1	1	0	0	1	0	1	0	1	1
101	2	13	5	1	0	0	0	0	1	0	1	0	0
101	3	13	5	1	1	0	1	0	0	1	1	0	0
102	1	13	6	2	0	1	1	0	0	1	1	0	0
102	2	13	6	2	0	0	0	1	0	1	0	0	1
102	3	13	6	2	1	0	1	0	0	1	1	0	0
103	1	13	7	1	1	0	0	0	0	0	0	0	1
103	2	13	7	1	0	0	1	0	0	0	0	1	0
103	3	13	7	1	1	0	1	0	0	1	1	0	0
104	1	13	8	2	0	1	0	0	0	1	0	1	0
104	2	13	8	2	0	1	0	1	0	0	1	0	1
104	3	13	8	2	1	0	1	0	0	1	1	0	0
105	1	14	1	2	1	0	0	1	0	1	1	0	0
105	2	14	1	2	0	1	0	0	0	1	1	1	1
105	3	14	1	2	1	0	1	0	0	1	1	0	0
106	1	14	2	2	0	1	1	0	0	1	0	0	0
106	2	14	2	2	0	0	0	1	0	1	1	1	1
106	3	14	2	2	1	0	1	0	0	1	1	0	0
107	1	14	3	1	0	1	0	1	1	0	0	0	1
107	2	14	3	1	0	1	0	1	0	0	1	1	0
107	3	14	3	1	1	0	1	0	0	1	1	0	0
108	1	14	4	2	1	0	1	0	1	0	1	1	0
108	2	14	4	2	0	1	0	1	1	0	0	1	1
108	3	14	4	2	1	0	1	0	0	1	1	0	0
109	1	14	5	2	1	0	0	1	0	1	0	1	0
109	2	14	5	2	0	0	0	0	1	0	1	0	1
109	3	14	5	2	1	0	1	0	0	1	1	0	0
110	1	14	6	2	0	1	1	0	0	1	1	0	0
110	2	14	6	2	0	0	0	1	0	1	0	0	1
110	3	14	6	2	1	0	1	0	0	1	1	0	0
111	1	14	7	1	1	0	0	0	0	0	0	0	1
111	2	14	7	1	0	0	1	0	0	0	0	1	0
111	3	14	7	1	1	0	1	0	0	1	1	0	0
112	1	14	8	1	0	1	0	0	0	1	0	1	1
112	2	14	8	1	0	1	0	1	0	0	1	0	0
112	3	14	8	1	1	0	1	0	0	1	1	0	0
113	1	15	1	1	1	0	0	1	0	1	1	0	1
113	2	15	1	1	0	1	0	0	0	1	1	1	0
113	3	15	1	1	1	0	1	0	0	1	1	0	0
114	1	15	2	2	0	1	1	0	0	1	0	0	0
114	2	15	2	2	0	0	0	1	0	1	1	1	1
114	3	15	2	2	1	0	1	0	0	1	1	0	0
115	1	15	3	1	0	1	0	1	1	0	0	0	1
115	2	15	3	1	0	1	0	1	0	0	1	1	0
115	3	15	3	1	1	0	1	0	0	1	1	0	0
116	1	15	4	2	1	0	1	0	1	0	1	1	0
116	2	15	4	2	0	1	0	1	1	0	0	1	1
116	3	15	4	2	1	0	1	0	0	1	1	0	0
117	1	15	5	1	1	0	0	1	0	1	0	1	1
117	2	15	5	1	0	0	0	0	1	0	1	0	0
117	3	15	5	1	1	0	1	0	0	1	1	0	0
118	1	15	6	2	0	1	1	0	0	1	1	0	0
118	2	15	6	2	0	0	0	1	0	1	0	0	1
118	3	15	6	2	1	0	1	0	0	1	1	0	0
119	1	15	7	3	1	0	0	0	0	0	0	0	0
119	2	15	7	3	0	0	1	0	0	0	0	1	0
119	3	15	7	3	1	0	1	0	0	1	1	0	1
120	1	15	8	2	0	1	0	0	0	1	0	1	0
120	2	15	8	2	0	1	0	1	0	0	1	0	1
120	3	15	8	2	1	0	1	0	0	1	1	0	0
121	1	16	1	2	1	0	0	1	0	1	1	0	0
121	2	16	1	2	0	1	0	0	0	1	1	1	1
121	3	16	1	2	1	0	1	0	0	1	1	0	0
122	1	16	2	2	0	1	1	0	0	1	0	0	0
122	2	16	2	2	0	0	0	1	0	1	1	1	1
122	3	16	2	2	1	0	1	0	0	1	1	0	0
123	1	16	3	1	0	1	0	1	1	0	0	0	1
123	2	16	3	1	0	1	0	1	0	0	1	1	0
123	3	16	3	1	1	0	1	0	0	1	1	0	0
124	1	16	4	2	1	0	1	0	1	0	1	1	0
124	2	16	4	2	0	1	0	1	1	0	0	1	1
124	3	16	4	2	1	0	1	0	0	1	1	0	0
125	1	16	5	2	1	0	0	1	0	1	0	1	0
125	2	16	5	2	0	0	0	0	1	0	1	0	1
125	3	16	5	2	1	0	1	0	0	1	1	0	0
126	1	16	6	2	0	1	1	0	0	1	1	0	0
126	2	16	6	2	0	0	0	1	0	1	0	0	1
126	3	16	6	2	1	0	1	0	0	1	1	0	0
127	1	16	7	1	1	0	0	0	0	0	0	0	1
127	2	16	7	1	0	0	1	0	0	0	0	1	0
127	3	16	7	1	1	0	1	0	0	1	1	0	0
128	1	16	8	1	0	1	0	0	0	1	0	1	1
128	2	16	8	1	0	1	0	1	0	0	1	0	0
128	3	16	8	1	1	0	1	0	0	1	1	0	0
129	1	17	1	2	1	0	0	1	0	1	1	0	0
129	2	17	1	2	0	1	0	0	0	1	1	1	1
129	3	17	1	2	1	0	1	0	0	1	1	0	0
130	1	17	2	2	0	1	1	0	0	1	0	0	0
130	2	17	2	2	0	0	0	1	0	1	1	1	1
130	3	17	2	2	1	0	1	0	0	1	1	0	0
131	1	17	3	1	0	1	0	1	1	0	0	0	1
131	2	17	3	1	0	1	0	1	0	0	1	1	0
131	3	17	3	1	1	0	1	0	0	1	1	0	0
132	1	17	4	2	1	0	1	0	1	0	1	1	0
132	2	17	4	2	0	1	0	1	1	0	0	1	1
132	3	17	4	2	1	0	1	0	0	1	1	0	0
133	1	17	5	2	1	0	0	1	0	1	0	1	0
133	2	17	5	2	0	0	0	0	1	0	1	0	1
133	3	17	5	2	1	0	1	0	0	1	1	0	0
134	1	17	6	2	0	1	1	0	0	1	1	0	0
134	2	17	6	2	0	0	0	1	0	1	0	0	1
134	3	17	6	2	1	0	1	0	0	1	1	0	0
135	1	17	7	3	1	0	0	0	0	0	0	0	0
135	2	17	7	3	0	0	1	0	0	0	0	1	0
135	3	17	7	3	1	0	1	0	0	1	1	0	1
136	1	17	8	1	0	1	0	0	0	1	0	1	1
136	2	17	8	1	0	1	0	1	0	0	1	0	0
136	3	17	8	1	1	0	1	0	0	1	1	0	0
137	1	18	1	2	1	0	0	1	0	1	1	0	0
137	2	18	1	2	0	1	0	0	0	1	1	1	1
137	3	18	1	2	1	0	1	0	0	1	1	0	0
138	1	18	2	2	0	1	1	0	0	1	0	0	0
138	2	18	2	2	0	0	0	1	0	1	1	1	1
138	3	18	2	2	1	0	1	0	0	1	1	0	0
139	1	18	3	2	0	1	0	1	1	0	0	0	0
139	2	18	3	2	0	1	0	1	0	0	1	1	1
139	3	18	3	2	1	0	1	0	0	1	1	0	0
140	1	18	4	2	1	0	1	0	1	0	1	1	0
140	2	18	4	2	0	1	0	1	1	0	0	1	1
140	3	18	4	2	1	0	1	0	0	1	1	0	0
141	1	18	5	1	1	0	0	1	0	1	0	1	1
141	2	18	5	1	0	0	0	0	1	0	1	0	0
141	3	18	5	1	1	0	1	0	0	1	1	0	0
142	1	18	6	2	0	1	1	0	0	1	1	0	0
142	2	18	6	2	0	0	0	1	0	1	0	0	1
142	3	18	6	2	1	0	1	0	0	1	1	0	0
143	1	18	7	2	1	0	0	0	0	0	0	0	0
143	2	18	7	2	0	0	1	0	0	0	0	1	1
143	3	18	7	2	1	0	1	0	0	1	1	0	0
144	1	18	8	1	0	1	0	0	0	1	0	1	1
144	2	18	8	1	0	1	0	1	0	0	1	0	0
144	3	18	8	1	1	0	1	0	0	1	1	0	0
145	1	19	1	1	1	0	0	1	0	1	1	0	1
145	2	19	1	1	0	1	0	0	0	1	1	1	0
145	3	19	1	1	1	0	1	0	0	1	1	0	0
146	1	19	2	2	0	1	1	0	0	1	0	0	0
146	2	19	2	2	0	0	0	1	0	1	1	1	1
146	3	19	2	2	1	0	1	0	0	1	1	0	0
147	1	19	3	2	0	1	0	1	1	0	0	0	0
147	2	19	3	2	0	1	0	1	0	0	1	1	1
147	3	19	3	2	1	0	1	0	0	1	1	0	0
148	1	19	4	2	1	0	1	0	1	0	1	1	0
148	2	19	4	2	0	1	0	1	1	0	0	1	1
148	3	19	4	2	1	0	1	0	0	1	1	0	0
149	1	19	5	1	1	0	0	1	0	1	0	1	1
149	2	19	5	1	0	0	0	0	1	0	1	0	0
149	3	19	5	1	1	0	1	0	0	1	1	0	0
150	1	19	6	2	0	1	1	0	0	1	1	0	0
150	2	19	6	2	0	0	0	1	0	1	0	0	1
150	3	19	6	2	1	0	1	0	0	1	1	0	0
151	1	19	7	3	1	0	0	0	0	0	0	0	0
151	2	19	7	3	0	0	1	0	0	0	0	1	0
151	3	19	7	3	1	0	1	0	0	1	1	0	1
152	1	19	8	2	0	1	0	0	0	1	0	1	0
152	2	19	8	2	0	1	0	1	0	0	1	0	1
152	3	19	8	2	1	0	1	0	0	1	1	0	0
153	1	20	1	1	1	0	0	1	0	1	1	0	1
153	2	20	1	1	0	1	0	0	0	1	1	1	0
153	3	20	1	1	1	0	1	0	0	1	1	0	0
154	1	20	2	2	0	1	1	0	0	1	0	0	0
154	2	20	2	2	0	0	0	1	0	1	1	1	1
154	3	20	2	2	1	0	1	0	0	1	1	0	0
155	1	20	3	2	0	1	0	1	1	0	0	0	0
155	2	20	3	2	0	1	0	1	0	0	1	1	1
155	3	20	3	2	1	0	1	0	0	1	1	0	0
156	1	20	4	2	1	0	1	0	1	0	1	1	0
156	2	20	4	2	0	1	0	1	1	0	0	1	1
156	3	20	4	2	1	0	1	0	0	1	1	0	0
157	1	20	5	1	1	0	0	1	0	1	0	1	1
157	2	20	5	1	0	0	0	0	1	0	1	0	0
157	3	20	5	1	1	0	1	0	0	1	1	0	0
158	1	20	6	2	0	1	1	0	0	1	1	0	0
158	2	20	6	2	0	0	0	1	0	1	0	0	1
158	3	20	6	2	1	0	1	0	0	1	1	0	0
159	1	20	7	3	1	0	0	0	0	0	0	0	0
159	2	20	7	3	0	0	1	0	0	0	0	1	0
159	3	20	7	3	1	0	1	0	0	1	1	0	1
160	1	20	8	2	0	1	0	0	0	1	0	1	0
160	2	20	8	2	0	1	0	1	0	0	1	0	1
160	3	20	8	2	1	0	1	0	0	1	1	0	0
161	1	21	1	2	1	0	0	1	0	1	1	0	0
161	2	21	1	2	0	1	0	0	0	1	1	1	1
161	3	21	1	2	1	0	1	0	0	1	1	0	0
162	1	21	2	2	0	1	1	0	0	1	0	0	0
162	2	21	2	2	0	0	0	1	0	1	1	1	1
162	3	21	2	2	1	0	1	0	0	1	1	0	0
163	1	21	3	1	0	1	0	1	1	0	0	0	1
163	2	21	3	1	0	1	0	1	0	0	1	1	0
163	3	21	3	1	1	0	1	0	0	1	1	0	0
164	1	21	4	2	1	0	1	0	1	0	1	1	0
164	2	21	4	2	0	1	0	1	1	0	0	1	1
164	3	21	4	2	1	0	1	0	0	1	1	0	0
165	1	21	5	2	1	0	0	1	0	1	0	1	0
165	2	21	5	2	0	0	0	0	1	0	1	0	1
165	3	21	5	2	1	0	1	0	0	1	1	0	0
166	1	21	6	2	0	1	1	0	0	1	1	0	0
